HERC_net, HERC_description, HERC_name, SKIQ-X4_net, SKIQ-X4_description, SKIQ-X4_name, 
GND,NC,NC,NC,NC,
DP16_C2M_P,NC,NC,NC,NC,
DP16_C2M_N,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
DP17_C2M_P,NC,NC,NC,NC,
DP17_C2M_N,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
DP18_C2M_P,NC,NC,NC,NC,
DP18_C2M_N,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
DP19_C2M_P,NC,NC,NC,NC,
DP19_C2M_N,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
DP23_C2M_P,NC,NC,NC,NC,
DP23_C2M_N,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
DP21_C2M_P,NC,NC,NC,NC,
DP21_C2M_N,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
DP10_M2C_P,NC,NC,NC,NC,
DP10_M2C_N,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
DP12_M2C_P,NC,NC,NC,NC,
DP12_M2C_N,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
DP14_M2C_P,NC,NC,NC,NC,
DP14_M2C_N,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
DP15_M2C_P,NC,NC,NC,NC,
DP15_M2C_N,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
DP11_C2M_P,NC,NC,NC,NC,
DP11_C2M_N,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
DP13_C2M_P,NC,NC,NC,NC,
DP13_C2M_N,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
DP17_M2C_P,NC,NC,NC,NC,
DP17_M2C_N,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
DP19_M2C_P,NC,NC,NC,NC,
DP19_M2C_N,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
HSPC_PRSNT_M2C_L,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
DP22_C2M_P,NC,NC,NC,NC,
DP22_C2M_N,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
DP20_C2M_P,NC,NC,NC,NC,
DP20_C2M_N,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
DP11_M2C_P,NC,NC,NC,NC,
DP11_M2C_N,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
DP13_M2C_P,NC,NC,NC,NC,
DP13_M2C_N,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
GBTCLK5_M2C_P,NC,NC,NC,NC,
GBTCLK5_M2C_N,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
DP10_C2M_P,NC,NC,NC,NC,
DP10_C2M_N,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
DP12_C2M_P,NC,NC,NC,NC,
DP12_C2M_N,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
DP16_M2C_P,NC,NC,NC,NC,
DP16_M2C_N,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
DP18_M2C_P,NC,NC,NC,NC,
DP18_M2C_N,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
GND,NC,NC,NC,NC,
3P3V,NC,NC,NC,NC,
